Name,Number,Difficulty,Pattern,Status,Attempts,Time,Notes
Last Stone Weight II,1049,Medium,DP Knapsack,To Solve,0,,
Ones and Zeroes,474,Medium,DP Knapsack,To Solve,0,,
Combination Sum IV,377,Medium,DP 1D,To Solve,0,,
Triangle,120,Medium,DP 2D,To Solve,0,,
Minimum Path Sum,64,Medium,DP 2D,To Solve,0,,
Unique Paths,62,Medium,DP 2D,To Solve,0,,
Unique Paths II,63,Medium,DP 2D,To Solve,0,,
Maximum Subarray,53,Medium,DP Kadane,To Solve,0,,
Maximum Product Subarray,152,Medium,DP,To Solve,0,,
Best Time to Buy and Sell Stock,121,Easy,DP,To Solve,0,,
Best Time to Buy and Sell Stock II,122,Medium,Greedy,To Solve,0,,
Best Time to Buy and Sell Stock III,123,Hard,DP,To Solve,0,,
Best Time to Buy and Sell Stock IV,188,Hard,DP,To Solve,0,,
Longest Increasing Subsequence,300,Medium,DP 1D Binary Search,To Solve,0,,
Russian Doll Envelopes,354,Hard,DP Binary Search,To Solve,0,,
Maximum Length of Pair Chain,646,Medium,DP Greedy,To Solve,0,,
Number of Longest Increasing Subsequence,673,Medium,DP,To Solve,0,,
Increasing Triplet Subsequence,334,Medium,DP,To Solve,0,,
Longest Common Subsequence,1143,Medium,DP 2D,To Solve,0,,
Shortest Common Supersequence,1092,Medium,DP 2D,To Solve,0,,
Delete Operation for Two Strings,583,Medium,DP 2D,To Solve,0,,
Minimum Insertion Steps to Make a String Palindrome,1312,Medium,DP 2D,To Solve,0,,
Edit Distance,72,Medium,DP 2D,To Solve,0,,
Distinct Subsequences,115,Hard,DP 2D,To Solve,0,,
Interleaving String,97,Medium,DP 2D,To Solve,0,,
Partition Equal Subset Sum,416,Medium,DP 1D,To Solve,0,,
Longest Palindromic Subsequence,516,Medium,DP 2D,To Solve,0,,
Longest Palindromic Substring,5,Medium,DP 2D Expand,To Solve,0,,
Palindromic Substrings,647,Medium,DP 2D Expand,To Solve,0,,
Count Different Palindromic Subsequences,730,Hard,DP,To Solve,0,,
Burst Balloons,312,Hard,DP,To Solve,0,,
Minimum Score Triangulation of Polygon,1039,Medium,DP,To Solve,0,,
Scramble String,87,Hard,DP,To Solve,0,,
Guess Number Higher or Lower II,375,Medium,DP,To Solve,0,,
Remove Boxes,546,Hard,DP,To Solve,0,,
Strange Printer,664,Hard,DP,To Solve,0,,
Combination Sum,39,Medium,Backtracking,To Solve,0,,
Combination Sum II,40,Medium,Backtracking,To Solve,0,,
Combination Sum III,216,Medium,Backtracking,To Solve,0,,
Combination Sum IV,377,Medium,DP,To Solve,0,,
Letter Combinations of a Phone Number,17,Medium,Backtracking,To Solve,0,,
Generate Parentheses,22,Medium,Backtracking,To Solve,0,,
Permutations,46,Medium,Backtracking,To Solve,0,,
Permutations II,47,Medium,Backtracking,To Solve,0,,
Subsets,78,Medium,Backtracking,To Solve,0,,
Subsets II,90,Medium,Backtracking,To Solve,0,,
Word Search,79,Medium,Backtracking Matrix,To Solve,0,,
Word Search II,212,Hard,Backtracking Trie,To Solve,0,,
Palindrome Partitioning,131,Medium,Backtracking,To Solve,0,,
Palindrome Partitioning II,132,Hard,DP,To Solve,0,,
Restore IP Addresses,93,Medium,Backtracking,To Solve,0,,
N-Queens,51,Hard,Backtracking,To Solve,0,,
N-Queens II,52,Hard,Backtracking,To Solve,0,,
Sudoku Solver,37,Hard,Backtracking,To Solve,0,,
Word Squares,425,Hard,Backtracking Trie,To Solve,0,,
Split Concatenated Strings,Plan to solve,Hard,Backtracking,To Solve,0,,
Binary Watch,401,Easy,Backtracking,To Solve,0,,
Factor Combinations,254,Medium,Backtracking,To Solve,0,,
Strobogrammatic Number II,247,Medium,Backtracking,To Solve,0,,
Gray Code,89,Medium,Backtracking,To Solve,0,,
Beautiful Arrangement,526,Medium,Backtracking,To Solve,0,,
Distribute Repeating Integers,1655,Medium,Backtracking,To Solve,0,,
Matchsticks to Square,473,Medium,Backtracking,To Solve,0,,
Partition to K Equal Sum Subsets,698,Medium,Backtracking,To Solve,0,,
Partition K Equal Sum Subsets,Plan,Medium,Backtracking,To Solve,0,,
Expression Add Operators,282,Hard,Backtracking,To Solve,0,,
Remove Invalid Parentheses,301,Hard,BFS Backtracking,To Solve,0,,
Next Permutation,31,Medium,Array,To Solve,0,,
Previous Permutation With One Swap,1053,Medium,Array,To Solve,0,,
